Document ID,Document Date,Gazette Type,Reasoning,Document Path,Document Availability,Download URL,Document Description
2464-32,2025-11-29,PEOPLE,"The gazette content is a government personnel appointment. It names a specific individual (Mr. B. K. Prabath Chandrakeerthi) and his basic title (Commissioner-General of Essential Services). While it mentions the general purpose of the role (""to execute and coordinate all activities relating to the supply and maintenance of essential services""), this is a high-level description of the office's mandate, not a detailed breakdown of specific portfolio responsibilities or subject areas. Therefore, it fits the criteria for a People Gazette (Type 2).",doc-archive/2025/11/29/2464-32/2464-32_english.pdf,Available,https://documents.gov.lk/view/extra-gazettes/2025/11/2464-32_E.pdf,"Presidential Secretariat - Emergency (Miscellaneous Provisions and Powers) Regulations, No. 1 of 2025. Appointment of Commissioner - General of  Essential Services."
2464-33,2025-11-29,ORGANISATIONAL,"The gazette content is a public notice from the Colombo Municipal Council regarding the public inspection period for its 2026 budget. This is an administrative matter related to local government finance and public information. It does not involve central government structure/personnel (Types 1-3) nor does it fit any of the specialized categories (Land, Legal, Commercial, Elections, Public Service, or Judicial). It is a routine municipal administrative announcement, falling under the final Miscellaneous category.",doc-archive/2025/11/29/2464-33/2464-33_english.pdf,Available,https://documents.gov.lk/view/extra-gazettes/2025/11/2464-33_E.pdf,Colombo Municipal Council - Under Section 212 (6) of the Municipal Council Ordinance (Authority 252) Budget - 2026
2464-29,2025-11-28,LEGAL_REGULATORY,"The gazette content is an order by the President, issued under the authority of the Essential Public Services Act, No. 61 of 1979. Its primary function is to declare a wide range of services as ""essential public services"" due to severe weather, which is a regulatory action that modifies the legal status and obligations related to those services. While it involves the President (a government person), it does not detail his personal portfolio responsibilities or make structural/personnel changes. Instead, it creates a binding legal/regulatory framework under an existing Act, making it a Legal/Regulatory Gazette.",doc-archive/2025/11/28/2464-29/2464-29_english.pdf,Available,https://documents.gov.lk/view/extra-gazettes/2025/11/2464-29_E.pdf,"Presidential Secretariat - Essential Public Services Act, No.61 of 1979  Declare the Essential Public Services"
2464-30,2025-11-28,LEGAL_REGULATORY,"The gazette content is a proclamation by the President declaring a state of public emergency and bringing specific legal provisions (Part II of the Public Security Ordinance) into operation. This constitutes the activation of a legal/regulatory framework under existing legislation, which falls squarely under the definition of Legal/Regulatory Gazettes (Type 5). While it involves the President, it does not describe government structure, personnel changes, or detailed portfolio responsibilities; its core function is to enact a legal measure.",doc-archive/2025/11/28/2464-30/2464-30_english.pdf,Available,https://documents.gov.lk/view/extra-gazettes/2025/11/2464-30_E.pdf,Presidential Secretariat - Public Security Ordinance (Chapter 40)
2464-31,2025-11-28,LEGAL_REGULATORY,"The gazette content is the publication of regulations made by the President under the Public Security Ordinance. It establishes a new legal/regulatory framework (the Emergency (Miscellaneous Provisions and Powers) Regulations, No. 1 of 2025), defines terms, and grants specific powers to authorities. This fits the definition of Type 5 (Legal/Regulatory Gazettes) for new regulations and statutory instruments. While it involves the President, it does not concern government structure, personnel appointments, or detailed portfolio responsibilities, so government Types 1-3 do not apply.",doc-archive/2025/11/28/2464-31/2464-31_english.pdf,Available,https://documents.gov.lk/view/extra-gazettes/2025/11/2464-31_E.pdf,"Presidential Secretariat - The Public Security Ordinance (Chapter 40) Regulations may be cited as the Emergency (Miscellaneous Provisions and Powers) Regulations, No.01 of 2025."
2464-27,2025-11-27,ELECTIONS,"The gazette content is a formal notice under the Local Authorities Elections Ordinance declaring the election result of a new Chairman for a specific Pradeshiya Sabha. Its primary subject is an electoral outcome at the local government level, which fits the definition of Type 7 (Elections Gazettes) for matters concerning election results and declarations.",doc-archive/2025/11/27/2464-27/2464-27_english.pdf,Available,https://documents.gov.lk/view/extra-gazettes/2025/11/2464-27_E.pdf,Department of Local Government -Eastern Province - Elected New Chairman of Koralaipattu West Pradeshiya Sabha.
2464-22,2025-11-26,LAND,"The gazette content is exclusively concerned with the formal registration and declaration of land titles for specific parcels of land under the Registration of Title Act. It details the determination of ownership, extent, class of title, and encumbrances for listed land plots. This falls squarely under the Land Gazettes (Type 4) category, which covers land registrations, title settlements, and property ownership matters.",doc-archive/2025/11/26/2464-22/2464-22_english.pdf,Available,https://documents.gov.lk/view/extra-gazettes/2025/11/2464-22_E.pdf,"Land Title Settlement Dept - Kokwalamulla, Naththandiya D/S/D, Puttalam District (25/14-204-00065)"
2464-23,2025-11-26,LAND,"The gazette content is exclusively about land title registration. It contains formal declarations by the Commissioner General of Land Title Settlement regarding the determination of title for specific land parcels, including detailed schedules with owner names, parcel numbers, and extents. The document is explicitly published under ""PART III - LANDS"" and references the Registration of Title Act. This fits the definition of a Land Gazette (Type 4), which covers land registrations, property ownership, and title settlements.",doc-archive/2025/11/26/2464-23/2464-23_english.pdf,Available,https://documents.gov.lk/view/extra-gazettes/2025/11/2464-23_E.pdf,"Land Title Settlement Dept - Wewila, Eheliyagoda D/S/D, Rathnapura District (25-14-204-00113)"
2464-24,2025-11-26,LAND,"The gazette content consists entirely of amendments to land title registrations under the Registration of Title Act. It details specific changes (e.g., inserting servitude rights, amending parcel numbers, adding life interests) to the official records for identified parcels of land in various districts. This falls squarely under the definition of Land Gazettes, which cover land registrations, title amendments, and property-related legal notices.",doc-archive/2025/11/26/2464-24/2464-24_english.pdf,Available,https://documents.gov.lk/view/extra-gazettes/2025/11/2464-24_E.pdf,"Land Title Settlement Dept - Adurupotha East, Galigamuwa D/S/D, Kegalle District (7880)"
2464-25,2025-11-26,LAND,"The gazette content is a formal declaration by the Commissioner General of Land Title Settlement regarding the determination of title for specific land parcels, as per the Registration of Title Act. It includes a detailed schedule listing parcel numbers, owners, extents, and title classes. The entire document is published under ""PART III - LANDS"" and deals exclusively with land registration and ownership matters, fitting the definition of a Land Gazette.",doc-archive/2025/11/26/2464-25/2464-25_english.pdf,Available,https://documents.gov.lk/view/extra-gazettes/2025/11/2464-25_E.pdf,"Land Title Settlement Dept - Kariwil, Hambanthota D/S/D, Hambanthota District (25/14-204-000163)"
